,PITCH,PITCHER,RELSPEED
478,FC,"Buehler, Walker",91.30727421052632
479,FC,"Bumgarner, Madison",86.9864196875
480,FC,"Burnes, Corbin",95.56759576923076
481,FC,"Chatwood, Tyler",89.13912142857143
482,FC,"Colome, Alexander",89.47816533333334
483,FC,"Darvish, Yu",90.44222363636364
484,FC,"Davis, Wade",88.196891875
485,FC,"Dunning, Dane",88.31563
486,FC,"Eovaldi, Nathan",92.84
487,FC,"Flexen, Christopher",89.499964
488,FC,"Fulmer, Carson",86.45734
489,FC,"Gibson, Kyle",89.2484825
490,FC,"Gonzales, Marco",86.07168
491,FC,"Graveman, Kendall",88.39713
492,FC,"Hill, Richard",84.36914444444444
493,FC,"Jansen, Kenley",92.50502111111112
494,FC,"Kennedy, Ian",88.80259
495,FC,"Kikuchi, Yusei",91.3944135
496,FC,"Kluber, Corey",87.74062
497,FC,"LeBlanc, Wade",84.57689
498,FC,"Mahle, Tyler",90.13927
499,FC,"Mayers, Mike",92.423665
500,FC,"Mazza, Chris",88.311326
501,FC,"McCullers, Lance",88.2353588888889
502,FC,"McHugh, Collin",87.6526037037037
503,FC,"Melancon, Mark",92.31213096385542
504,FC,"Montgomery, Jordan",88.62791
505,FC,"Ottavino, Adam",87.67482125000001
506,FC,"Perez, Martin",89.68833677083335
507,FC,"Petit, Yusmeiro",85.7146
508,FC,"Phelps, David",90.682035
509,FC,"Pomeranz, Drew",95.44713
510,FC,"Price, David",90.48187
511,FC,"Ramirez, Nick",87.731954
512,FC,"Roark, Tanner",87.95734285714286
513,FC,"Rodriguez, Eduardo",87.863860625
514,FC,"Ryu, Hyun-Jin",84.67915
515,FC,"Sadler, Casey",87.82211444444445
516,FC,"Thornton, Trent",87.41512833333333
517,FC,"Treinen, Blake",94.20920333333333
518,FC,"Trivino, Lou",93.32436999999999
519,FC,"Wacha, Michael",89.6257504
520,FC,"Weaver, Luke",88.58758666666667
521,FC,"Yarbrough, Ryan",82.38185967741936
522,FC,"Young, Alex",85.09136833333334
523,SI,"Adams, Austin",95.37673000000001
524,SI,"Alcala, Jorge",95.80326
525,SI,"Alexander, Scott",94.664
526,SI,"Alvarez, Jose",90.80185
527,SI,"Bassitt, Chris",94.06974548387097
528,SI,"Berrios, Jose",93.40451125
529,SI,"Brice, Austin",92.71509823529412
530,SI,"Buehler, Walker",95.83841
531,SI,"Burnes, Corbin",96.55053785714287
532,SI,"Cahill, Trevor",89.79441818181819
533,SI,"Castillo, Diego",95.3835962962963
534,SI,"Cessa, Luis",94.18922
535,SI,"Chapman, Aroldis",101.40436
536,SI,"Chatwood, Tyler",94.63112
537,SI,"Cishek, Steven",88.34978000000001
538,SI,"Cobb, Alexander",92.80927518518519
539,SI,"Crichton, Stefan",91.53507607142856
540,SI,"Crismatt, Nabil",88.39873833333333
541,SI,"Cronenworth, Jake",89.52626
542,SI,"Darvish, Yu",94.4129775
543,SI,"Davis, Wade",91.66592
544,SI,"De Geus, Brett",94.033813125
545,SI,"DeSclafani, Anthony",94.39692469387755
546,SI,"Dobnak, Randy",90.64286210526315
547,SI,"Dolis, Rafael",96.01442
548,SI,"Dunning, Dane",91.00175484848485
549,SI,"Emanuel, Kent",93.21138444444445
550,SI,"Fleming, Josh",90.83496448275861
551,SI,"Foltynewicz, Mike",93.82636235294117
552,SI,"Gibson, Kyle",92.70002794117647
553,SI,"Gonzales, Marco",88.471463125
554,SI,"Gonzalez, Victor",94.383646
555,SI,"Graterol, Brusdar",99.556664
556,SI,"Graveman, Kendall",95.365644
557,SI,"Guerra, Junior",93.51720999999999
558,SI,"Happ, J A",88.37929214285714
559,SI,"Hill, Tim",91.15543777777778
560,SI,"Jansen, Kenley",94.53631777777778
561,SI,"Kelly, Merrill",92.35487521739131
562,SI,"King, John",92.98896599999999
563,SI,"Kittredge, Andrew",95.03011458333333
564,SI,"Kluber, Corey",90.9574475
565,SI,"Lawrence, Justin",99.15480884615384
566,SI,"LeBlanc, Wade",88.88965
567,SI,"Lopez, Jorge",95.72815909090909
568,SI,"Lyles, Jordan",91.4589
569,SI,"Maeda, Kenta",90.214625
570,SI,"Marshall, Evan",91.086502
571,SI,"Martin, Brett",93.64028851851852
572,SI,"Mayza, Tim",92.50479
573,SI,"Mazza, Chris",91.68712
574,SI,"McCullers, Lance",93.47647421052632
575,SI,"Montero, Rafael",93.93176461538461
576,SI,"Montgomery, Jordan",92.74948111111111
